defect_id,source,area,symptom,severity,affected_roles,root_cause,fix,files_changed,tests,status,evidence,residual_risk
QUAL-001,Architecture + Data Integrity reviews (cross-confirmed),Planning backend,command-centre always showed every core item unscheduled + 0 nights missing facilitator; facilitator-leave conflict warning never fired,P1,"sqn_admin, wing_admin, national_admin","Both endpoints read ScheduledSession, a table with zero live write path (same class already fixed once for facilitator_workload)",Rewrote to the same proven ParadeDate->ParadeNight->TrainingSession join,backend/app/routers/planning.py; backend/tests/test_planning.py,"3 new tests, verified fail-before/pass-after via git stash; full suite 1204 passed/5 skipped",STAGING VERIFIED,"unscheduled_required 13->7, nights_missing_facilitator 0->1, live on staging",scheduled_sessions/planning_locations tables not yet retired (QUAL-002)
QUAL-002,Architecture + Data Integrity reviews,Data model,"scheduled_sessions and planning_locations tables are superseded but still physically present, with live cross-FKs pointing at them",P3,none (schema hygiene),Incomplete v14 model migration,"Phase C, 2026-08-08: removed the dead _session_out() serializer (zero callers, verified) and its ScheduledSession/PlanningLocation router imports from planning.py -- the last live-code reference to either model in this router. Also renamed ScheduledSessionIn/ScheduledSessionUpdateIn to SessionCreateIn/SessionUpdateIn (C-3) since they build TrainingSession, not ScheduledSession -- pure internal rename, zero wire-contract change.",backend/app/routers/planning.py,"full suite 1204 passed/5 skipped (no new tests needed -- pure dead-code removal + rename, no behavior change)","CLOSED (code cleanup done; table retirement explicitly deferred by user, 2026-08-08 -- not reopening without a fresh ask)","Deployed to aafc-tms-backend staging; verified live: command-centre still returns correct values (7/1), create_session (SessionCreateIn) still returns 200 with unchanged response shape","User explicitly chose to leave scheduled_sessions/planning_locations tables and model classes in place for now (asked directly, not assumed) -- see decision_log.md 2026-08-08. Tables remain in the schema, unused, zero risk as-is."
QUAL-003,Security review reconnaissance,Auth/config,Production fail-closed config gate (validate_for_production) is entirely bypassed if ENVIRONMENT drifts from 'production' -- documented as having happened before,"HIGH (structural risk, not current vuln)",all,is_prod-gated early return in config.py,"Live-checked 2026-08-08: production ENVIRONMENT=production, COOKIE_SECURE=true, CORS locked, 64-char secrets, Postgres -- gate currently passes",,,STAGING/PRODUCTION VERIFIED (currently correct; structural risk remains undocumented as a monitored invariant),"verified via railway variable list, non-destructive","recommend a scheduled/CI check that ENVIRONMENT is correct in production, not just point-in-time verification"
QUAL-004,Security review reconnaissance,Auth/Proxy Mode,Proxy/Delegated Intervention sessions have no TTL and survive logout+re-login with no re-prompt,MEDIUM,"wing_admin, national_admin, system_admin using Proxy/Intervention",ProxySession has no expires_at column; logout() does not deactivate it; get_principal re-attaches by user_id,Not yet fixed -- needs live confirmation + a decision on remediation (deactivate on logout vs. TTL) before implementing,,,OPEN,,candidate for live verification in the adversarial testing phase
QUAL-005,Architecture review C-5,Backend (permissions.py / routers),"Squadron-scope-derivation logic (""which squadron ids can this principal see"") is duplicated across many routers instead of living once in permissions.py","P3 (DESIGN, not a defect)",none (maintainability only),No central helper for scope-derivation exists; each router re-derives it inline,"DEFERRED by explicit user decision 2026-08-08 -- multi-router refactor of working code, not a confirmed defect; scheduled for a future dedicated pass, not this program's remaining phases unless re-prioritised",,,DEFERRED,,"revisit as its own scoped task, not folded into Phase C/D/etc. silently"
QUAL-006,Phase D mutation testing (M3),permissions.py test coverage,IDOR-class gap: can_write_squadron wing_admin/proxy branch untested for cross-squadron write during active proxy,"P1 (test gap, not live defect)","wing_admin, national_admin, system_admin",No dedicated permissions.py unit tests existed,"Added backend/tests/test_permissions.py, verified kills the mutation",backend/tests/test_permissions.py,"6 new tests, full suite 1210 passed/5 skipped",CLOSED,mutation re-applied and confirmed caught post-fix,apply same pattern to security.py next
QUAL-007,Phase D mutation testing (M7),permissions.py test coverage,can_view_wing equality check untested,"P2 (test gap, not live defect)","wing_viewer, wing_admin",Same root cause as QUAL-006,"Added to same test_permissions.py file, verified kills the mutation",backend/tests/test_permissions.py,included in same 1210-pass run,CLOSED,mutation re-applied and confirmed caught post-fix,
QUAL-008,"Phase D mutation testing (hand-crafted, D1) -- independently corroborated by automated background security scanner","Backend dependencies.py::get_principal -- authentication gap","A deactivated (archived) user's already-issued, time-valid JWT continues to authenticate indefinitely. archive_account() sets active_status=False but does not bump token_version, so the token_version-mismatch check (which catches code-change/reset revocation) cannot catch this case -- the active_status check in get_principal is the only control standing between an archived account and continued API access on a pre-archival token.","HIGH (real, standalone authentication bypass -- not merely a test-coverage gap)","all archived/deactivated users of any role, until their pre-archival token naturally expires","backend (dependencies.py + accounts.py's archive_account not bumping token_version)","No existing test exercised account archival against a held token -- all existing revocation tests (test_session_revocation.py) cover code-change and code-reset, both of which do bump token_version; archival was untested.","Added test_token_rejected_after_account_archived to backend/tests/test_session_revocation.py; verified by re-applying the exact mutation in isolation and confirming the new test fails with assert 200 == 401, then reverting (diff-confirmed clean).",backend/tests/test_session_revocation.py,"1 new test; full suite 1211 passed, 5 skipped, 0 failures",CLOSED,"Mutation re-applied and confirmed caught post-fix; independently corroborated by this session's own background security-review scanner flagging the same mutation as HIGH ""Authentication Bypass / Disabled Account Access"" while it was live mid-test-run","consider whether archive_account should also bump token_version directly, as defense in depth alongside the active_status check -- not done here since the active_status check alone is sufficient and this would be an unrequested behavioural change to archive_account"
QUAL-009,"Phase D mutation testing (hand-crafted, D4)","Backend dependencies.py::get_principal -- test-precision gap, not a live defect","Removing the explicit missing-token early-raise (if not token: raise 401 auth_required) survives the full suite with 0 failures -- but confirmed NOT exploitable: decode_token(None) returns None gracefully, so a missing token still falls through to the next check (if not payload: raise 401 invalid_or_expired) and is still correctly rejected with a 401, just via a different branch/error code than the removed check owned.","P3 (test-coverage/precision gap only -- the authentication guarantee itself holds under this mutation)",none (no live-defect impact confirmed),backend (test suite),"No test asserts the specific error code (auth_required) returned for a request with no token at all -- existing tests check for a 401 broadly but not this exact branch's own error code.","Not fixed -- explicitly recorded as low-priority test-precision hygiene rather than a gap needing a fix, per this program's own discipline against conflating a redundant/defense-in-depth branch with a real bypass (contrast with QUAL-008/D1, a genuine standalone gap found in the same mutation pass).",none,none,OPEN (low priority, by design -- not a live defect),"decode_token(None) verified directly in isolation to return None, confirming the fallthrough path still produces a 401","candidate for a future precision-hygiene pass: assert the exact error code for a missing-token request, if ever prioritised"
QUAL-010,"Found uncommitted in working tree during Phase D wrap-up, 2026-08-08 (fix predates this pass -- investigative provenance not available in current context, but the fix, its rationale, and its regression coverage are directly evidenced by the diff and the tests' own docstrings)","Backend dashboard.py -- chart data-contract mismatches (DASH-01/02/03)","Three backend chart payloads were missing fields their frontend renderers depend on: (DASH-01) facilitator_workload chart omitted value_key='total', so _chartHBar sized bars by 'delivered' only -- a facilitator with 0 delivered but 10 planned rendered as a zero-width bar; (DASH-02) wing_subject_area_gaps heatmap cells omitted 'label', so _renderHeatmap showed blank column headers and 'undefined' tooltips; (DASH-03) capability_dependency rows omitted 'label'/'count', so _chartHBar's auto-detected valKey rendered all bars at 0 width with blank labels.","P2 (charts render visibly wrong/misleading, not a data-integrity or access-control defect)","all roles viewing the affected dashboard charts (facilitator_workload: sqn_admin+; wing_subject_area_gaps: wing_admin+; capability_dependency: sqn_admin+)",backend (dashboard.py chart-builder functions returning payloads without fields the existing frontend renderers already expected),Each chart-builder function omitted a field name the corresponding frontend renderer (_chartHBar / _renderHeatmap) already read -- a backend/frontend data-contract mismatch rather than a rendering-logic bug on either side.,"Added the missing fields (value_key='total' on facilitator_workload; label alongside subject_area on wing_subject_area_gaps cells; label+count alongside name+sessions on capability_dependency rows) without removing or renaming any existing field, preserving both wire-format compatibility and doc/CLAUDE.md-referenced field names.",backend/app/routers/dashboard.py; backend/tests/test_dashboard_charts.py,"3 new regression tests (test_capability_dependency_rows_have_label_and_count, test_wing_subject_area_gaps_cells_have_label, test_facilitator_workload_value_key_is_total); full suite 1211 passed, 5 skipped, 0 failures",CLOSED (code-level; browser verification not performed in this pass -- see residual_risk),"tests assert the payload shape (field presence/value), not a live-rendered browser screenshot -- per this program's own 'no false closure from source inspection alone' discipline, this should be spot-checked in a real browser against staging before being treated as fully closed against the user-facing symptom, not just the payload contract"
